Gene_ID,GO_ID,GO_Term,Ontology
Ca_00009,GO:0003824,catalytic activity,MF
Ca_00009,GO:0008168,methyltransferase activity,MF
Ca_00009,GO:0009058,biosynthetic process,BP
Ca_00009,GO:0030170,pyridoxal phosphate binding,MF
Ca_00010,GO:0000166,nucleotide binding,MF
Ca_00010,GO:0003676,nucleic acid binding,MF
Ca_00010,GO:0005515,protein binding,MF
Ca_00010,GO:0005622,intracellular anatomical structure,CC
Ca_00010,GO:0006396,RNA processing,BP
Ca_00012,GO:0005215,transporter activity,MF
Ca_00012,GO:0006810,transport,BP
Ca_00012,GO:0006857,oligopeptide transport,BP
Ca_00012,GO:0016020,membrane,CC
Ca_00013,GO:0003677,DNA binding,MF
Ca_00013,GO:0005634,nucleus,CC
Ca_00013,GO:0006355,regulation of DNA-templated transcription,BP
Ca_00013,GO:0009725,response to hormone,BP
Ca_00015,GO:0004672,protein kinase activity,MF
Ca_00015,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00015,GO:0005524,ATP binding,MF
Ca_00015,GO:0006468,protein phosphorylation,BP
Ca_00015,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00016,GO:0008270,zinc ion binding,MF
Ca_00018,GO:0005216,monoatomic ion channel activity,MF
Ca_00018,GO:0005247,voltage-gated chloride channel activity,MF
Ca_00018,GO:0006821,chloride transport,BP
Ca_00018,GO:0016020,membrane,CC
Ca_00018,GO:0030554,adenyl nucleotide binding,MF
Ca_00018,GO:0055085,transmembrane transport,BP
Ca_00019,GO:0000166,nucleotide binding,MF
Ca_00019,GO:0003676,nucleic acid binding,MF
Ca_00019,GO:0003723,RNA binding,MF
Ca_00019,GO:0005634,nucleus,CC
Ca_00019,GO:0046872,metal ion binding,MF
Ca_00020,GO:0004672,protein kinase activity,MF
Ca_00020,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00020,GO:0005524,ATP binding,MF
Ca_00020,GO:0006468,protein phosphorylation,BP
Ca_00020,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00021,GO:0003924,GTPase activity,MF
Ca_00021,GO:0005525,GTP binding,MF
Ca_00021,GO:0005622,intracellular anatomical structure,CC
Ca_00021,GO:0006886,intracellular protein transport,BP
Ca_00021,GO:0006913,nucleocytoplasmic transport,BP
Ca_00021,GO:0007165,signal transduction,BP
Ca_00021,GO:0007264,small GTPase-mediated signal transduction,BP
Ca_00021,GO:0015031,protein transport,BP
Ca_00021,GO:0016020,membrane,CC
Ca_00022,GO:0003746,translation elongation factor activity,MF
Ca_00022,GO:0005515,protein binding,MF
Ca_00022,GO:0005853,eukaryotic translation elongation factor 1 complex,CC
Ca_00022,GO:0006414,translational elongation,BP
Ca_00023,GO:0005515,protein binding,MF
Ca_00024,GO:0004672,protein kinase activity,MF
Ca_00024,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00024,GO:0005515,protein binding,MF
Ca_00024,GO:0005524,ATP binding,MF
Ca_00024,GO:0006468,protein phosphorylation,BP
Ca_00024,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00028,GO:0005515,protein binding,MF
Ca_00029,GO:0005524,ATP binding,MF
Ca_00029,GO:0006457,protein folding,BP
Ca_00029,GO:0051082,unfolded protein binding,MF
Ca_00030,GO:0004672,protein kinase activity,MF
Ca_00030,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00030,GO:0005524,ATP binding,MF
Ca_00030,GO:0006468,protein phosphorylation,BP
Ca_00030,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00031,GO:0003723,RNA binding,MF
Ca_00031,GO:0003743,translation initiation factor activity,MF
Ca_00031,GO:0005515,protein binding,MF
Ca_00031,GO:0005852,eukaryotic translation initiation factor 3 complex,CC
Ca_00031,GO:0006413,translational initiation,BP
Ca_00031,GO:0031369,translation initiation factor binding,MF
Ca_00032,GO:0005515,protein binding,MF
Ca_00032,GO:0008270,zinc ion binding,MF
