Gene_ID,Tissue,Tissue_Median_TPM,Other_Tissues_Mean_TPM,Other_Tissues_Maximum_TPM,Fold_Enrichment_vs_Other_Mean,Fold_Enrichment_vs_Second_Highest,Relative_Expression_Fraction,Tau,Expression_Class,Maximum_Tissue_Recalculated,Description,TF_Family,Marker_Score
Ca_10761,Androecium,525.324443,0.4053715,7.416935,374.509119474815,62.53160360630088,0.9766374275714146,0.999228340684692,Tissue-specific,Androecium,probable carboxylesterase 2-like [Glycine max],NA,77.22039740969984
Ca_06803,Androecium,5743.07017,91.61385727419355,970.110398,62.02171401838977,5.914950742809367,0.6691137631263125,0.9840479300161166,Tissue-specific,Androecium,Late embryogenesis abundant protein (LEA) family protein,NA,73.17524533265531
Ca_12119,Androecium,905.68773,4.4849201290322585,90.617501,165.3055484255471,9.896446858990402,0.8669188967403708,0.9950480502490276,Tissue-specific,Androecium,Plant invertase/pectin methylesterase inhibitor superfamily protein,NA,72.03787181518604
Ca_17351,Androecium,1841.845755,17.339488387096775,254.525636,100.48512347250549,7.211979916566963,0.7740897112594592,0.9905858086432994,Tissue-specific,Androecium,L-ascorbate oxidase homolog [Glycine max],NA,71.46722681634844
Ca_04723,Androecium,5222.760431,99.43727269354838,1127.916106,52.01017800372381,4.627235277481284,0.6288454892783916,0.9809607823281856,Tissue-specific,Androecium,hypothetical protein,NA,69.06836414195435
Ca_20948,Androecium,5866.246753,128.745630516129,1127.511834,45.221151029595774,5.199100776997258,0.59511329402069435,0.978053151199225,Tissue-specific,Androecium,"late embryogenesis abundant domain protein/LEA domain protein, putative",NA,67.32734655414149
Ca_01608,Androecium,2897.227684,46.23060156451613,624.493377,61.363344695939865,4.63350658947105,0.6690475518850301,0.984043158975794,Tissue-specific,Androecium,polygalacturonase 4,NA,67.21770849384197
Ca_11310,Androecium,1642.091849,21.42840785483871,235.540151,73.25940653631902,6.94635495096137,0.7119803302978388,0.98695054246332925,Tissue-specific,Androecium,GDSL-like Lipase/Acylhydrolase superfamily protein,NA,65.31203896442743
Ca_02477,Androecium,1267.499006,14.080318193548386,199.918228,84.11619633746754,6.3135088270836235,0.7438423033831202,0.9888912589856907,Tissue-specific,Androecium,vicilin-like antimicrobial peptides 2-2-like [Glycine max],NA,65.18609263094113
Ca_13949,Androecium,3967.255313,88.16036809677419,631.491754,44.506941791591494,6.274003238625622,0.592107622088282,0.977777994824813,Tissue-specific,Androecium,L-ascorbate oxidase homolog [Glycine max],NA,64.0065118843901
Ca_20929,Androecium,1025.090245,10.692367129032258,39.311754,87.75727221669327,25.45387246111891,0.755657738369423,0.9895693406690916,Tissue-specific,Androecium,Unknown protein,NA,63.89991534502639
Ca_03351,Androecium,3705.932233,80.66370125806452,826.624549,45.39265519310429,4.479002269179911,0.5971043373863787,0.9782338973876038,Tissue-specific,Androecium,glyceraldehyde-3-phosphate dehydrogenase C2,NA,63.839609837825535
Ca_08389,Androecium,1986.763873,36.03883087096774,418.011743,53.6670252882651,4.743933567990719,0.6400723557159003,0.9818605364428388,Tissue-specific,Androecium,soluble inorganic pyrophosphatase,NA,61.816102704580565
Ca_20897,Androecium,949.209081,11.047220096774193,142.478014,78.87372135372802,6.622680747448873,0.7348679979741992,0.9883616578076394,Tissue-specific,Androecium,Cold acclimation protein WCOR413 family,NA,61.60933280836452
Ca_02921,Androecium,890.146697,10.82734235483871,128.41065,75.3463179017069,6.886192882888696,0.7261794982552987,0.9878364516867508,Tissue-specific,Androecium,FASCICLIN-like arabinogalactan protein 8,NA,60.361311332800234
Ca_16095,Androecium,1116.341041,16.209057870967744,167.299137,64.92749628583628,6.639018244044828,0.6896009288137629,0.9854801917374212,Tissue-specific,Androecium,"mitochondrial phosphate carrier protein 3, mitochondrial-like [Glycine max]",NA,60.08010782189092
Ca_04459,Androecium,1992.811527,42.5934755483871,369.313368,45.73646633856815,5.384119773391491,0.6014746927233712,0.9786264405984706,Tissue-specific,Androecium,Calcium-binding EF-hand family protein,NA,59.16250468486352
Ca_17707,Androecium,1084.260313,16.669348838709677,197.834657,61.42050411175494,5.4581043836839775,0.6772351371891103,0.9846260638346268,Tissue-specific,Androecium,V-type proton ATPase subunit E2-like isoform X1 [Glycine max],NA,58.9834944435143
Ca_02897,Androecium,1739.864365,35.456884483870965,404.351454,47.75132021416099,4.2947036400663805,0.6128380901396631,0.9796208916067598,Tissue-specific,Androecium,plasma membrane H+-ATPase,NA,58.821072691816724
Ca_18245,Androecium,494.321516,4.0271950806451615,77.819339,98.52840561270466,6.28426376425207,0.7983685519818997,0.9918530855924848,Tissue-specific,Androecium,"Non-specific lipid-transfer protein, putative",NA,58.8028022256449
Ca_23942,Androecium,10442.22317,432.1081425967742,2861.758637,24.112276225946395,3.647957964400336,0.43805726510885373,0.9586191431113826,Tissue-specific,Androecium,sucrose transporter 4,NA,58.76375984436889
Ca_09702,Androecium,17312.56844,831.8967670806452,5445.05828,20.787172101393946,3.179100837679614,0.40167097136761926,0.951948391137702,Tissue-specific,Androecium,hypothetical protein,NA,58.67355697080389
Ca_24624,Androecium,670.186493,7.997741258064516,82.368617,74.59499820562495,8.050829162729185,0.7299580319478246,0.9880663944415476,Tissue-specific,Androecium,sugar porter (SP) family MFS transporter,NA,57.72165391254644
Ca_08863,Androecium,1844.981126,41.95866087096774,424.764542,42.97110497798474,4.335685440897988,0.5865089973547961,0.9772579457428184,Tissue-specific,Androecium,Alba DNA/RNA-binding protein,NA,57.52666429581463
Ca_16700,Androecium,2301.538867,58.55815412903226,569.748395,38.66034635679891,4.034245014390273,0.559054504754943,0.9745569562310448,Tissue-specific,Androecium,Calcium-binding EF-hand family protein,NA,57.3933754872565
Ca_17725,Androecium,1784.426318,40.29234558064516,442.907504,43.23867518044016,4.022068340615391,0.5882422187008066,0.97742000038096,Tissue-specific,Androecium,beta-galactosidase 11,NA,57.375590434594336
Ca_05516,Androecium,6741.825841,261.5697461935484,2061.835131,25.680132379111384,3.2687177659861177,0.45398008828110314,0.9612019425653466,Tissue-specific,Androecium,late embryogenesis abundant protein (LEA) family protein,NA,57.2476389873321
Ca_13704,Androecium,393.060314,2.888012241935484,38.45482,101.35264229616561,9.987634311853407,0.8144830562633146,0.9926524959679968,Tissue-specific,Androecium,unknown protein,NA,57.030140289430726
Ca_00408,Androecium,4960.147718,180.18363477419354,1407.926436,27.381875433633972,3.521225516986467,0.4703416258680879,0.9636737361429134,Tissue-specific,Androecium,Pollen Ole e 1 allergen and extensin family protein,NA,56.49240609408874
Ca_17280,Androecium,754.373251,10.929344258064516,216.103629,63.32060125512347,3.47932116325886,0.6900704677400087,0.98551202041751,Tissue-specific,Androecium,major intrinsic protein (MIP) family transporter,NA,56.39007573024953
Ca_14547,Androecium,739.382075,10.817318612903225,108.745323,62.65229018972065,6.746365628720232,0.6879771438142462,0.985369785150792,Tissue-specific,Androecium,nuclear transcription factor Y subunit B-7-like [Glycine max],NF-YB,56.067615924522755
