Gene_ID,Domain_ID,Annotation_Type
Ca_00001,IPR005135,InterPro
Ca_00002,IPR002885,InterPro
Ca_00003,IPR011107,InterPro
Ca_00009,IPR004839,InterPro
Ca_00009,IPR015421,InterPro
Ca_00009,IPR015422,InterPro
Ca_00009,IPR015424,InterPro
Ca_00009,IPR025779,InterPro
Ca_00010,IPR000504,InterPro
Ca_00010,IPR003107,InterPro
Ca_00010,IPR011990,InterPro
Ca_00010,IPR012677,InterPro
Ca_00012,IPR000109,InterPro
Ca_00012,IPR016196,InterPro
Ca_00012,IPR018456,InterPro
Ca_00013,IPR003340,InterPro
Ca_00013,IPR010525,InterPro
Ca_00013,IPR015300,InterPro
Ca_00015,IPR000719,InterPro
Ca_00015,IPR002290,InterPro
Ca_00015,IPR008271,InterPro
Ca_00015,IPR011009,InterPro
Ca_00015,IPR017441,InterPro
Ca_00016,IPR004330,InterPro
Ca_00016,IPR006564,InterPro
Ca_00016,IPR007527,InterPro
Ca_00016,IPR018289,InterPro
Ca_00017,IPR007877,InterPro
Ca_00018,IPR000644,InterPro
Ca_00018,IPR001807,InterPro
Ca_00018,IPR002251,InterPro
Ca_00018,IPR014743,InterPro
Ca_00019,IPR000504,InterPro
Ca_00019,IPR000571,InterPro
Ca_00019,IPR003954,InterPro
Ca_00019,IPR009145,InterPro
Ca_00019,IPR012677,InterPro
Ca_00020,IPR000719,InterPro
Ca_00020,IPR002290,InterPro
Ca_00020,IPR008271,InterPro
Ca_00020,IPR011009,InterPro
Ca_00020,IPR017441,InterPro
Ca_00021,IPR001806,InterPro
Ca_00021,IPR002041,InterPro
Ca_00021,IPR003578,InterPro
Ca_00021,IPR003579,InterPro
Ca_00021,IPR005225,InterPro
Ca_00021,IPR020849,InterPro
Ca_00021,IPR027417,InterPro
Ca_00022,IPR001662,InterPro
Ca_00022,IPR004045,InterPro
Ca_00022,IPR004046,InterPro
Ca_00022,IPR010987,InterPro
Ca_00022,IPR012336,InterPro
Ca_00023,IPR000008,InterPro
Ca_00023,IPR013583,InterPro
Ca_00024,IPR000719,InterPro
Ca_00024,IPR001245,InterPro
Ca_00024,IPR001611,InterPro
Ca_00024,IPR002290,InterPro
Ca_00024,IPR003591,InterPro
Ca_00024,IPR008271,InterPro
Ca_00024,IPR011009,InterPro
Ca_00024,IPR013210,InterPro
Ca_00024,IPR025875,InterPro
Ca_00026,IPR020864,InterPro
Ca_00028,IPR000270,InterPro
Ca_00029,IPR012725,InterPro
Ca_00029,IPR013126,InterPro
Ca_00029,IPR018181,InterPro
Ca_00030,IPR000719,InterPro
Ca_00030,IPR002290,InterPro
Ca_00030,IPR008271,InterPro
Ca_00030,IPR011009,InterPro
Ca_00030,IPR017441,InterPro
Ca_00031,IPR000717,InterPro
Ca_00031,IPR008905,InterPro
Ca_00031,IPR011991,InterPro
Ca_00031,IPR027516,InterPro
Ca_00032,IPR001293,InterPro
Ca_00032,IPR008974,InterPro
Ca_00033,IPR005120,InterPro
Ca_00033,IPR012677,InterPro
Ca_00034,IPR001487,InterPro
Ca_00034,IPR018359,InterPro
Ca_00035,IPR001406,InterPro
Ca_00035,IPR020094,InterPro
Ca_00035,IPR020095,InterPro
Ca_00035,IPR020097,InterPro
Ca_00035,IPR020103,InterPro
Ca_00036,IPR007275,InterPro
Ca_00037,IPR010420,InterPro
Ca_00037,IPR016040,InterPro
Ca_00038,IPR012879,InterPro
Ca_00040,IPR001075,InterPro
Ca_00041,IPR001348,InterPro
Ca_00041,IPR011322,InterPro
Ca_00041,IPR013115,InterPro
Ca_00041,IPR013820,InterPro
Ca_00041,IPR015867,InterPro
Ca_00041,IPR018198,InterPro
Ca_00041,IPR020621,InterPro
Ca_00042,IPR008521,InterPro
Ca_00043,IPR009890,InterPro
Ca_00044,IPR005333,InterPro
Ca_00044,IPR017887,InterPro
Ca_00045,IPR007087,InterPro
Ca_00045,IPR013087,InterPro
Ca_00045,IPR015880,InterPro
Ca_00046,IPR001141,InterPro
Ca_00046,IPR005824,InterPro
Ca_00046,IPR008991,InterPro
Ca_00046,IPR014722,InterPro
Ca_00046,IPR018262,InterPro
Ca_00047,IPR006918,InterPro
Ca_00048,IPR001279,InterPro
Ca_00048,IPR011108,InterPro
Ca_00048,IPR021718,InterPro
Ca_00048,IPR022712,InterPro
Ca_00050,IPR004326,InterPro
Ca_00051,IPR001041,InterPro
Ca_00051,IPR006058,InterPro
Ca_00051,IPR010241,InterPro
Ca_00051,IPR012675,InterPro
Ca_00052,IPR004240,InterPro
Ca_00053,IPR000719,InterPro
Ca_00053,IPR002290,InterPro
Ca_00053,IPR008271,InterPro
Ca_00053,IPR011009,InterPro
Ca_00053,IPR017441,InterPro
Ca_00054,IPR003733,InterPro
Ca_00054,IPR004399,InterPro
Ca_00054,IPR013749,InterPro
Ca_00054,IPR013785,InterPro
Ca_00054,IPR022998,InterPro
Ca_00055,IPR001650,InterPro
Ca_00055,IPR002121,InterPro
Ca_00055,IPR002464,InterPro
Ca_00055,IPR004589,InterPro
Ca_00055,IPR010997,InterPro
Ca_00055,IPR011545,InterPro
Ca_00055,IPR011991,InterPro
Ca_00055,IPR014001,InterPro
Ca_00055,IPR018982,InterPro
Ca_00055,IPR027417,InterPro
Ca_00057,IPR002125,InterPro
Ca_00057,IPR016192,InterPro
Ca_00057,IPR016193,InterPro
Ca_00058,IPR008862,InterPro
Ca_00059,IPR001085,InterPro
Ca_00059,IPR015421,InterPro
Ca_00059,IPR015422,InterPro
Ca_00059,IPR015424,InterPro
Ca_00059,IPR019798,InterPro
Ca_00061,IPR000595,InterPro
Ca_00061,IPR002110,InterPro
Ca_00061,IPR003938,InterPro
Ca_00061,IPR005821,InterPro
Ca_00061,IPR014710,InterPro
Ca_00061,IPR018490,InterPro
Ca_00061,IPR020683,InterPro
Ca_00061,IPR021789,InterPro
Ca_00062,IPR008901,InterPro
Ca_00063,IPR000357,InterPro
Ca_00063,IPR001494,InterPro
Ca_00063,IPR011989,InterPro
Ca_00063,IPR016024,InterPro
Ca_00063,IPR021133,InterPro
Ca_00064,IPR001810,InterPro
Ca_00064,IPR006566,InterPro
Ca_00064,IPR027191,InterPro
Ca_00065,IPR019144,InterPro
Ca_00066,IPR002939,InterPro
Ca_00066,IPR008971,InterPro
Ca_00067,IPR000679,InterPro
Ca_00067,IPR013088,InterPro
Ca_00068,IPR000629,InterPro
Ca_00068,IPR001650,InterPro
Ca_00068,IPR002495,InterPro
Ca_00068,IPR009448,InterPro
Ca_00068,IPR011545,InterPro
Ca_00068,IPR014001,InterPro
Ca_00068,IPR014014,InterPro
Ca_00068,IPR027417,InterPro
Ca_00069,IPR003593,InterPro
Ca_00069,IPR003959,InterPro
Ca_00069,IPR003960,InterPro
Ca_00069,IPR027417,InterPro
Ca_00070,IPR012392,InterPro
Ca_00070,IPR013601,InterPro
Ca_00070,IPR013747,InterPro
Ca_00070,IPR016038,InterPro
Ca_00070,IPR016039,InterPro
Ca_00071,IPR002885,InterPro
Ca_00071,IPR011990,InterPro
Ca_00072,IPR005123,InterPro
Ca_00072,IPR027450,InterPro
Ca_00074,IPR009038,InterPro
Ca_00075,IPR001810,InterPro
Ca_00076,IPR005123,InterPro
Ca_00076,IPR026992,InterPro
Ca_00076,IPR027443,InterPro
Ca_00077,IPR006843,InterPro
Ca_00078,IPR006927,InterPro
Ca_00079,IPR002076,InterPro
Ca_00080,IPR001841,InterPro
Ca_00080,IPR013083,InterPro
Ca_00081,IPR001810,InterPro
Ca_00081,IPR002076,InterPro
Ca_00081,IPR006566,InterPro
Ca_00083,IPR006843,InterPro
Ca_00084,IPR002641,InterPro
Ca_00084,IPR016035,InterPro
Ca_00085,IPR005380,InterPro
Ca_00085,IPR005381,InterPro
Ca_00086,IPR009637,InterPro
Ca_00087,IPR015362,InterPro
Ca_00088,IPR001790,InterPro
Ca_00089,IPR005314,InterPro
Ca_00089,IPR011990,InterPro
Ca_00090,IPR005550,InterPro
Ca_00091,IPR006786,InterPro
Ca_00092,IPR004864,InterPro
Ca_00095,IPR000782,InterPro
Ca_00096,IPR003480,InterPro
Ca_00096,IPR023213,InterPro
Ca_00097,IPR004316,InterPro
Ca_00098,IPR007751,InterPro
Ca_00098,IPR022122,InterPro
Ca_00099,IPR000007,InterPro
Ca_00099,IPR001810,InterPro
Ca_00099,IPR018066,InterPro
Ca_00099,IPR025659,InterPro
Ca_00100,IPR000620,InterPro
Ca_00101,IPR000620,InterPro
Ca_00102,IPR000146,InterPro
Ca_00102,IPR020548,InterPro
Ca_00102,IPR028343,InterPro
Ca_00103,IPR004000,InterPro
Ca_00103,IPR004001,InterPro
Ca_00103,IPR020902,InterPro
Ca_00104,IPR003422,InterPro
Ca_00104,IPR023184,InterPro
Ca_00105,IPR008217,InterPro
Ca_00106,IPR003422,InterPro
Ca_00106,IPR023184,InterPro
Ca_00107,IPR002129,InterPro
Ca_00107,IPR015421,InterPro
Ca_00107,IPR015424,InterPro
Ca_00107,IPR021115,InterPro
Ca_00109,IPR000823,InterPro
Ca_00109,IPR002016,InterPro
Ca_00109,IPR010255,InterPro
Ca_00109,IPR019793,InterPro
Ca_00110,IPR008942,InterPro
Ca_00110,IPR011417,InterPro
Ca_00110,IPR013809,InterPro
Ca_00110,IPR014712,InterPro
Ca_00111,IPR000552,InterPro
Ca_00111,IPR011332,InterPro
Ca_00112,IPR000008,InterPro
Ca_00112,IPR002048,InterPro
Ca_00112,IPR003817,InterPro
Ca_00112,IPR005221,InterPro
Ca_00112,IPR011992,InterPro
Ca_00112,IPR018247,InterPro
Ca_00113,IPR003441,InterPro
Ca_00114,IPR002213,InterPro
Ca_00115,IPR002213,InterPro
Ca_00116,IPR001764,InterPro
Ca_00116,IPR002772,InterPro
Ca_00116,IPR017853,InterPro
Ca_00116,IPR026892,InterPro
Ca_00117,IPR002213,InterPro
Ca_00118,IPR000719,InterPro
Ca_00118,IPR001611,InterPro
Ca_00118,IPR002290,InterPro
Ca_00118,IPR008271,InterPro
Ca_00118,IPR011009,InterPro
Ca_00118,IPR013210,InterPro
Ca_00118,IPR013320,InterPro
Ca_00118,IPR017441,InterPro
Ca_00118,IPR025875,InterPro
Ca_00119,IPR001680,InterPro
Ca_00119,IPR015943,InterPro
Ca_00119,IPR017986,InterPro
Ca_00119,IPR019775,InterPro
Ca_00119,IPR020472,InterPro
Ca_00120,IPR004839,InterPro
Ca_00120,IPR015421,InterPro
Ca_00120,IPR015422,InterPro
Ca_00120,IPR015424,InterPro
Ca_00120,IPR019942,InterPro
Ca_00121,IPR001810,InterPro
Ca_00121,IPR006652,InterPro
Ca_00121,IPR015916,InterPro
Ca_00122,IPR001902,InterPro
Ca_00122,IPR002645,InterPro
Ca_00122,IPR011547,InterPro
