Gene_ID,Tau,Maximum_Tissue,Maximum_Median_TPM,Maximum_Tissue_Group,Tissues_with_Median_TPM_ge_5,Number_of_Tissues_with_Median_TPM_ge_5,Full_Gene_ID,Chromosome,Sequence_ID,Start,End,Strand,Gene_Length_bp,Description,Description_full,GO,InterPro,Pfam,PANTHER,Gene3D,Prosite,Superfamily,SMART,Dbxref_raw,Gene3D_IPRscan,PANTHER_IPRscan,Pfam_IPRscan,Prosite_IPRscan,Superfamily_IPRscan,SMART_IPRscan,PRINTS_IPRscan,Coils_IPRscan,TIGRFAM_IPRscan,Hamap_IPRscan,PIRSF_IPRscan,IPRscan_domain_descriptions,IPRscan_protein_isoforms,IPRscan_databases,IPRscan_unique_signatures,IPRscan_total_matches,Pfam_combined,PANTHER_combined,Gene3D_combined,Prosite_combined,Superfamily_combined,SMART_combined,TF_Family,TF_Mapping_Status,TF_Family_Conflict,Any_Ambiguous_Mapping,Number_of_supporting_NCBI_genes,Number_of_supporting_TF_proteins,Supporting_NCBI_genes,Supporting_PlantTFDB_Proteins,Maximum_Percent_Identity,Maximum_Query_Coverage,Maximum_Bitscore,Number_of_Tissues_TPM_ge_1,Number_of_Tissues_TPM_ge_5,Minimum_Median_TPM,Maximum_Median_TPM_Recalculated,Mean_Median_TPM,Median_Median_TPM,SD_Median_TPM,CV_Median_TPM,Maximum_Tissue_Recalculated,Expression_Class,Housekeeping_Stability_Score
Ca_23580,0.20969631901546587,Root Hair,126.052784,Root/Nodule,Root Hair;Flower bud 1;Flower 1;Flower bud 4;Flower bud 2;Flower 2;Flower bud 3;Androecium;Gynoecium;Endosperm;Seed 10 dap;Seed 5 dap;Petal;Flower 5;Germinating Seedling;SAM;Flower 3;Pedicel;Embryo;Shoot;Root;Pod Shell;Flower 4;Root tip;Seed Coat;Nodule;Mature leaf;Seed 20 dap;Young leaf;Sepal;Bracteole;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_23580,chr08,cicar.CDCFrontier.gnm2.chr08,6504873,6510755,+,5883,ubiquitin family protein,"ubiquitin family protein; IPR009060 (UBA-like), IPR015496 (Ubiquilin); GO:0005515 (protein binding)",GO:0005515,IPR000449;IPR000626;IPR006636;IPR009060;IPR015496;IPR015940,PF00240;PF00627,PTHR10677,G3DSA:1.10.8.10;G3DSA:3.10.20.90,PS50030;PS50053,SSF46934;SSF54236,SM00165;SM00213;SM00727,"Gene3D:G3DSA:1.10.8.10,Gene3D:G3DSA:3.10.20.90,InterPro:IPR000449,InterPro:IPR000626,InterPro:IPR006636,InterPro:IPR009060,InterPro:IPR015496,InterPro:IPR015940,PANTHER:PTHR10677,Pfam:PF00240,Pfam:PF00627,Prosite:PS50030,Prosite:PS50053,SMART:SM00165,SMART:SM00213,SMART:SM00727,Superfamily:SSF46934,Superfamily:SSF54236",G3DSA:1.10.8.10;G3DSA:3.10.20.90,PTHR10677,PF00240;PF00627,PS50030;PS50053,SSF46934;SSF54236,SM00165;SM00213;SM00727,NA,NA,NA,NA,NA,Heat shock chaperonin-binding motif.;UBA/TS-N domain;Ubiquitin-associated domain (UBA) profile.;Ubiquitin associated domain;Ubiquitin domain profile.;Ubiquitin family;Ubiquitin homologues,1,6,12,15,PF00240;PF00627,PTHR10677,G3DSA:1.10.8.10;G3DSA:3.10.20.90,PS50030;PS50053,SSF46934;SSF54236,SM00165;SM00213;SM00727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,50.075783,126.052784,100.44600434375,106.9287055,17.578269025722122,0.17500217296414425,Root Hair,Ubiquitous,0.38469849197961015
Ca_21076,0.2279867519961878,Gynoecium,60.18908,Flower organs,Gynoecium;Seed 5 dap;Seed 10 dap;Root;SAM;Germinating Seedling;Pod Shell;Flower 1;Flower bud 2;Flower 2;Flower bud 1;Flower 3;Flower bud 3;Flower 4;Flower 5;Root Hair;Androecium;Shoot;Petal;Endosperm;Flower bud 4;Root tip;Sepal;Pedicel;Seed Coat;Nodule;Embryo;Mature leaf;Young leaf;Seed 20 dap;Bracteole;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_21076,chr07,cicar.CDCFrontier.gnm2.chr07,16997952,17003874,+,5923,ubiquitin family protein,"ubiquitin family protein; IPR009060 (UBA-like), IPR015496 (Ubiquilin); GO:0005515 (protein binding)",GO:0005515,IPR000449;IPR000626;IPR006636;IPR009060;IPR015496;IPR015940,PF00240;PF00627,PTHR10677;PTHR10677:SF3,G3DSA:1.10.8.10;G3DSA:3.10.20.90,PS50030;PS50053,SSF46934;SSF54236,SM00165;SM00213;SM00727,"Gene3D:G3DSA:1.10.8.10,Gene3D:G3DSA:3.10.20.90,InterPro:IPR000449,InterPro:IPR000626,InterPro:IPR006636,InterPro:IPR009060,InterPro:IPR015496,InterPro:IPR015940,PANTHER:PTHR10677,PANTHER:PTHR10677:SF3,Pfam:PF00240,Pfam:PF00627,Prosite:PS50030,Prosite:PS50053,SMART:SM00165,SMART:SM00213,SMART:SM00727,Superfamily:SSF46934,Superfamily:SSF54236",G3DSA:1.10.8.10;G3DSA:3.10.20.90,PTHR10677;PTHR10677:SF3,PF00240;PF00627,PS50030;PS50053,SSF46934;SSF54236,SM00165;SM00213;SM00727,NA,NA,NA,NA,NA,Heat shock chaperonin-binding motif.;UBA/TS-N domain;Ubiquitin-associated domain (UBA) profile.;Ubiquitin associated domain;Ubiquitin domain profile.;Ubiquitin family;Ubiquitin homologues,1,6,13,16,PF00240;PF00627,PTHR10677;PTHR10677:SF3,G3DSA:1.10.8.10;G3DSA:3.10.20.90,PS50030;PS50053,SSF46934;SSF54236,SM00165;SM00213;SM00727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,29.1074765,60.18908,46.895589421875,48.629486,7.80570108296953,0.16644851209244996,Gynoecium,Ubiquitous,0.3944352640886377
Ca_16530,0.227354753629386,SAM,28.433104,Leaf/Shoot/SAM,SAM;Root tip;Endosperm;Embryo;Pod Shell;Gynoecium;Nodule;Flower bud 2;Flower 3;Flower 5;Seed 5 dap;Flower 2;Root;Flower bud 1;Flower 4;Flower 1;Petal;Germinating Seedling;Flower bud 3;Root Hair;Shoot;Pedicel;Flower bud 4;Mature leaf;Seed 10 dap;Seed Coat;Young leaf;Sepal;Androecium;Seed 20 dap;Bracteole;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_16530,chr06,cicar.CDCFrontier.gnm2.chr06,9924638,9928815,+,4178,mediator of RNA polymerase II transcription subunit 10,"mediator of RNA polymerase II transcription subunit 10; IPR019145 (Mediator complex, subunit Med10); GO:0001104 (RNA polymerase II transcription cofactor activity), GO:0006357 (regulation of transcription from RNA polymerase II promoter), GO:0016592 (mediator complex)","GO:0001104,GO:0006357,GO:0016592",IPR019145,PF09748,PTHR13345;PTHR13345:SF2,NA,NA,NA,NA,"InterPro:IPR019145,PANTHER:PTHR13345,PANTHER:PTHR13345:SF2,Pfam:PF09748",NA,PTHR13345;PTHR13345:SF2,PF09748,NA,NA,NA,NA,NA,NA,NA,NA,Transcription factor subunit Med10 of Mediator complex,1,2,3,3,PF09748,PTHR13345;PTHR13345:SF2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,10.027122,28.433104,22.1707151875,22.8538225,4.415146238715429,0.1991431580522363,SAM,Ubiquitous,0.4264979116816223
Ca_09143,0.23685681180121357,Root tip,13.194702,Root/Nodule,Root tip;Seed 30 dap;Petal;Flower bud 4;Seed 20 dap;Flower bud 2;Pod Shell;Flower bud 3;Mature leaf;Root;Root Hair;Flower bud 1;Nodule;Shoot;Germinating Seedling;Flower 1;SAM;Flower 3;Flower 2;Gynoecium;Seed 10 dap;Sepal;Flower 5;Seed 5 dap;Seed Coat;Bracteole;Young leaf;Pedicel;Androecium;Flower 4;Embryo;Endosperm,32,cicar.CDCFrontier.gnm2.ann1.Ca_09143,chr04,cicar.CDCFrontier.gnm2.chr04,7268249,7281400,-,13152,heparan-alpha-glucosaminide N-acetyltransferase-like protein,heparan-alpha-glucosaminide N-acetyltransferase-like protein; IPR012429 (Protein of unknown function DUF1624),NA,IPR012429,PF07786,PTHR31061;PTHR31061:SF1,NA,NA,NA,NA,"InterPro:IPR012429,PANTHER:PTHR31061,PANTHER:PTHR31061:SF1,Pfam:PF07786",NA,PTHR31061;PTHR31061:SF1,PF07786,NA,NA,NA,NA,NA,NA,NA,NA,Protein of unknown function (DUF1624),1,2,3,3,PF07786,PTHR31061;PTHR31061:SF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,5.884177,13.194702,10.167111171875,10.366560499999999,2.0406306322919163,0.20070899174751397,Root tip,Ubiquitous,0.43756580354872754
Ca_15038,0.25080025098037906,Root tip,73.502777,Root/Nodule,Root tip;Seed 5 dap;Flower 3;Flower bud 1;Flower bud 2;Flower 2;Germinating Seedling;Seed 10 dap;Young leaf;Flower 1;Flower bud 3;Flower 5;Gynoecium;Shoot;Embryo;SAM;Petal;Mature leaf;Flower 4;Pod Shell;Flower bud 4;Androecium;Root Hair;Endosperm;Sepal;Pedicel;Nodule;Seed 30 dap;Bracteole;Seed Coat;Seed 20 dap;Root,32,cicar.CDCFrontier.gnm2.ann1.Ca_15038,chr05,cicar.CDCFrontier.gnm2.chr05,74931511,74935102,-,3592,"copper ion-binding protein, putative","copper ion-binding protein, putative",NA,NA,NA,PTHR31365;PTHR31365:SF0,NA,NA,NA,NA,"Coils:Coil,PANTHER:PTHR31365,PANTHER:PTHR31365:SF0",NA,PTHR31365;PTHR31365:SF0,NA,NA,NA,NA,NA,Coil,NA,NA,NA,NA,1,2,3,3,NA,PTHR31365;PTHR31365:SF0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,36.508958,73.502777,55.644340671875,57.1399825,10.797496814073295,0.1940448333774724,Root tip,Ubiquitous,0.4448450843578514
Ca_22363,0.2465519538084768,Seed 5 dap,94.7941,Seed/Pod,Seed 5 dap;Flower 3;Root;Flower 4;Gynoecium;Flower 2;Flower 5;Androecium;Flower 1;Root Hair;SAM;Seed Coat;Flower bud 4;Petal;Flower bud 3;Nodule;Flower bud 1;Flower bud 2;Endosperm;Seed 10 dap;Shoot;Pedicel;Mature leaf;Pod Shell;Germinating Seedling;Root tip;Seed 30 dap;Bracteole;Sepal;Embryo;Seed 20 dap;Young leaf,32,cicar.CDCFrontier.gnm2.ann1.Ca_22363,chr07,cicar.CDCFrontier.gnm2.chr07,56153366,56159015,-,5650,ubiquitin-conjugating enzyme 34,ubiquitin-conjugating enzyme 34; IPR016135 (Ubiquitin-conjugating enzyme/RWD-like); GO:0016881 (acid-amino acid ligase activity),GO:0016881,IPR000608;IPR016135,PF00179,PTHR24067;PTHR24067:SF42,G3DSA:3.10.110.10,PS50127,SSF54495,SM00212,"Gene3D:G3DSA:3.10.110.10,InterPro:IPR000608,InterPro:IPR016135,PANTHER:PTHR24067,PANTHER:PTHR24067:SF42,Pfam:PF00179,Prosite:PS50127,SMART:SM00212,Superfamily:SSF54495",G3DSA:3.10.110.10,PTHR24067;PTHR24067:SF42,PF00179,PS50127,SSF54495,SM00212,NA,NA,NA,NA,NA,"Ubiquitin-conjugating enzyme;Ubiquitin-conjugating enzyme E2, catalytic domain homologues;Ubiquitin-conjugating enzymes family profile.",1,6,7,7,PF00179,PTHR24067;PTHR24067:SF42,G3DSA:3.10.110.10,PS50127,SSF54495,SM00212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,41.323309,94.7941,72.152794140625,73.21836300000001,14.35015282346036,0.1988856148175228,Seed 5 dap,Ubiquitous,0.4454375686259996
Ca_05222,0.23870204030739312,Flower 3,50.493247,Flower organs,Flower 3;Flower 1;Petal;Flower 2;Flower bud 1;Shoot;Pod Shell;Mature leaf;Young leaf;Seed 10 dap;Flower 5;Gynoecium;Pedicel;Sepal;Flower bud 4;SAM;Seed 5 dap;Flower bud 2;Germinating Seedling;Flower bud 3;Seed Coat;Seed 20 dap;Embryo;Bracteole;Androecium;Seed 30 dap;Root Hair;Flower 4;Nodule;Root;Root tip;Endosperm,32,cicar.CDCFrontier.gnm2.ann1.Ca_05222,chr03,cicar.CDCFrontier.gnm2.chr03,606302,613865,-,7564,casein kinase I-like 7,"casein kinase I-like 7; IPR011009 (Protein kinase-like domain); GO:0004672 (protein kinase activity), GO:0004674 (protein serine/threonine kinase activity), GO:0005524 (ATP binding), GO:0006468 (protein phosphorylation)","GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772",IPR000719;IPR002290;IPR008271;IPR011009;IPR017441,PF00069,PTHR11909;PTHR11909:SF18,G3DSA:1.10.510.10;G3DSA:3.30.200.20,PS00107;PS00108;PS50011,SSF56112,SM00220,"Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:3.30.200.20,InterPro:IPR000719,InterPro:IPR002290,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR017441,PANTHER:PTHR11909,PANTHER:PTHR11909:SF18,Pfam:PF00069,Prosite:PS00107,Prosite:PS00108,Prosite:PS50011,SMART:SM00220,Superfamily:SSF56112",G3DSA:1.10.510.10;G3DSA:3.30.200.20,PTHR11909;PTHR11909:SF18,PF00069,PS00107;PS00108;PS50011,SSF56112,SM00220,NA,NA,NA,NA,NA,"Protein kinase domain;Protein kinase domain profile.;Protein kinases ATP-binding region signature.;Serine/Threonine protein kinases active-site signature.;Serine/Threonine protein kinases, catalytic domain",1,7,10,10,PF00069,PTHR11909;PTHR11909:SF18,G3DSA:1.10.510.10;G3DSA:3.30.200.20,PS00107;PS00108;PS50011,SSF56112,SM00220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,17.656867,50.493247,38.817057203125,39.753648,8.087873909787522,0.2083587601055033,Flower 3,Ubiquitous,0.4470608004128964
Ca_11811,0.2323473262049304,Gynoecium,38.850356,Flower organs,Gynoecium;Root;Nodule;SAM;Flower 1;Flower 2;Petal;Seed 5 dap;Flower 3;Seed Coat;Shoot;Root Hair;Flower bud 1;Flower bud 3;Seed 10 dap;Flower bud 2;Sepal;Germinating Seedling;Flower bud 4;Androecium;Embryo;Flower 5;Pedicel;Pod Shell;Endosperm;Flower 4;Root tip;Seed 20 dap;Young leaf;Bracteole;Mature leaf;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_11811,chr04,cicar.CDCFrontier.gnm2.chr04,62755747,62758534,+,2788,F-box family protein,"F-box family protein; IPR001810 (F-box domain), IPR006553 (Leucine-rich repeat, cysteine-containing subtype); GO:0005515 (protein binding)",GO:0005515,IPR001810;IPR006553,PF00646;PF13516,PTHR23125;PTHR23125:SF204,G3DSA:3.80.10.10,PS50181,SSF52047;SSF81383,SM00367,"Gene3D:G3DSA:3.80.10.10,InterPro:IPR001810,InterPro:IPR006553,PANTHER:PTHR23125,PANTHER:PTHR23125:SF204,Pfam:PF00646,Pfam:PF13516,Prosite:PS50181,SMART:SM00367,Superfamily:SSF52047,Superfamily:SSF81383",G3DSA:3.80.10.10,PTHR23125;PTHR23125:SF204,PF00646;PF13516,PS50181,SSF52047;SSF81383,SM00367,NA,NA,NA,NA,NA,F-box domain;F-box domain profile.;Leucine-rich repeat - CC (cysteine-containing) subfamily;Leucine Rich repeat,1,6,9,17,PF00646;PF13516,PTHR23125;PTHR23125:SF204,G3DSA:3.80.10.10,PS50181,SSF52047;SSF81383,SM00367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,11.1273985,38.850356,30.105666421875,31.7499915,6.543736692452029,0.21735897158872727,Gynoecium,Ubiquitous,0.44970629779365767
Ca_09186,0.25485152062489447,Flower 1,39.386173,Flower organs,Flower 1;Root Hair;Flower 2;Androecium;Mature leaf;Flower bud 1;Seed 20 dap;Shoot;Flower bud 2;Petal;Flower 3;Endosperm;Seed 5 dap;Flower bud 3;Seed 30 dap;Germinating Seedling;Embryo;Flower bud 4;Flower 5;Pod Shell;Young leaf;Seed 10 dap;Nodule;Root tip;Pedicel;Gynoecium;Root;Sepal;Flower 4;SAM;Seed Coat;Bracteole,32,cicar.CDCFrontier.gnm2.ann1.Ca_09186,chr04,cicar.CDCFrontier.gnm2.chr04,7741745,7753539,-,11795,peptidyl-prolyl cis-trans isomerases,"peptidyl-prolyl cis-trans isomerases; hydrolases; nucleoside-triphosphatases; ATP binding; nucleotide binding; ATPases; IPR008984 (SMAD/FHA domain), IPR027417 (P-loop containing nucleoside triphosphate hydrolase); GO:0000166 (nucleotide binding), GO:0005515 (protein binding), GO:0005524 (ATP binding), GO:0017111 (nucleoside-triphosphatase activity)","GO:0000166,GO:0005515,GO:0005524,GO:0017111",IPR000253;IPR003593;IPR003959;IPR003960;IPR008984;IPR027417,PF00004,PTHR23074;PTHR23074:SF61,G3DSA:1.10.8.60;G3DSA:2.60.200.20;G3DSA:3.40.50.300,PS00674,SSF49879;SSF52540,SM00382,"Gene3D:G3DSA:1.10.8.60,Gene3D:G3DSA:2.60.200.20,Gene3D:G3DSA:3.40.50.300,InterPro:IPR000253,InterPro:IPR003593,InterPro:IPR003959,InterPro:IPR003960,InterPro:IPR008984,InterPro:IPR027417,PANTHER:PTHR23074,PANTHER:PTHR23074:SF61,Pfam:PF00004,Prosite:PS00674,SMART:SM00382,Superfamily:SSF49879,Superfamily:SSF52540",G3DSA:1.10.8.60;G3DSA:2.60.200.20;G3DSA:3.40.50.300,PTHR23074;PTHR23074:SF61,PF00004,PS00674,SSF49879;SSF52540,SM00382,NA,NA,NA,NA,NA,AAA-protein family signature.;ATPase family associated with various cellular activities (AAA);ATPases associated with a variety of cellular activities,1,6,10,13,PF00004,PTHR23074;PTHR23074:SF61,G3DSA:1.10.8.60;G3DSA:2.60.200.20;G3DSA:3.40.50.300,PS00674,SSF49879;SSF52540,SM00382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,18.004011,39.386173,29.662222734375,29.9714605,5.9146487900527704,0.19940005315914486,Flower 1,Ubiquitous,0.45425157378403935
Ca_10832,0.2463881725997542,Flower 3,76.135919,Flower organs,Flower 3;Flower 4;Root;Pedicel;Flower 2;Flower 5;Flower 1;Flower bud 1;Petal;Flower bud 2;Root Hair;Germinating Seedling;SAM;Seed Coat;Sepal;Seed 5 dap;Flower bud 3;Young leaf;Gynoecium;Flower bud 4;Mature leaf;Bracteole;Seed 10 dap;Pod Shell;Shoot;Embryo;Endosperm;Nodule;Root tip;Seed 20 dap;Androecium;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_10832,chr04,cicar.CDCFrontier.gnm2.chr04,42617038,42620323,-,3286,"transmembrane protein, putative","transmembrane protein, putative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,23.346562,76.135919,57.963147484375,60.1960305,12.6124585910358,0.21759443954343083,Flower 3,Ubiquitous,0.46398261214318504
